timestamp,DL_bitrate
1660.0,47116
1661.0,49567
1662.0,53213
1663.0,47479
1664.0,25404
1665.0,2
1666.0,2
1666.0,2
1667.0,1919
1668.0,578
1669.0,11
1670.0,3748
1671.0,10804
1672.0,9031
1673.0,11038
1674.0,11038
1674.0,9130
1675.0,8231
1676.0,8963
1679.0,731
1680.0,731
1680.0,180
1682.0,3455
1683.0,3771
1684.0,8688
1685.0,9769
1687.0,8984
1688.0,9245
1688.0,9245
1689.0,9862
1690.0,4183
1691.0,4077
1692.0,8453
1693.0,2
1694.0,2
1694.0,11710
1696.0,20406
1697.0,21975
1698.0,21307
1699.0,21526
1700.0,21816
1701.0,21050
1702.0,21190
1703.0,20699
1705.0,22304
1707.0,0
1707.0,0
1708.0,10393
1709.0,30331
1710.0,27953
1712.0,27494
1713.0,28114
1713.0,28114
1714.0,27609
1715.0,29041
1716.0,26499
1717.0,28569
1718.0,27343
1720.0,26991
1721.0,1705
1721.0,1705
1722.0,1003
1723.0,25737
1724.0,30537
1725.0,30537
1725.0,30271
1726.0,31825
1727.0,34013
1729.0,35108
1730.0,36122
1731.0,35398
1732.0,37045
1734.0,7805
1735.0,7805
1736.0,1035
1737.0,30852
1738.0,32070
1739.0,33642
1740.0,32805
1741.0,33175
1742.0,27364
1743.0,28312
1745.0,28792
1746.0,26428
1748.0,11155
1749.0,2
1749.0,2
1750.0,28974
1751.0,32553
1753.0,33329
1754.0,34330
1755.0,33587
1756.0,34013
1757.0,33935
1758.0,33431
1760.0,33959
1761.0,32959
1762.0,19561
1763.0,2
1763.0,2
1764.0,24599
1765.0,29912
1766.0,29912
1766.0,27237
1767.0,28590
1769.0,28860
1770.0,30316
1771.0,27506
1772.0,27816
1773.0,25231
1774.0,25231
1774.0,18607
1775.0,14646
1777.0,56
1777.0,56
1778.0,10331
1779.0,21496
1780.0,21360
1781.0,21571
1782.0,21571
1782.0,21155
1783.0,21738
1784.0,21832
1786.0,21175
1787.0,21369
1788.0,21784
1789.0,20147
1790.0,1
1791.0,1
1791.0,1
1791.0,7255
1792.0,31963
1793.0,34660
1795.0,34948
1796.0,34361
1797.0,35218
1798.0,35020
1799.0,34360
1800.0,35527
1801.0,33024
1804.0,5535
1805.0,5535
1805.0,3
1806.0,32712
1807.0,33288
1808.0,213784
1809.0,242690
1810.0,222668
1811.0,231434
1813.0,229926
1814.0,236240
1815.0,225569
1816.0,237853
1817.0,215182
1818.0,0
1818.0,0
1819.0,12886
1820.0,31687
1821.0,10881
1823.0,27782
1824.0,31601
1825.0,31463
1826.0,32775
1827.0,32993
1828.0,32773
1829.0,35063
1831.0,33903
1832.0,1026
1832.0,1026
1833.0,2556
1834.0,30257
1835.0,24430
1836.0,22988
1837.0,15359
1838.0,22463
1839.0,23895
1840.0,23895
1841.0,24382
1842.0,24381
1843.0,22143
1845.0,10184
1846.0,2
1846.0,2
1847.0,6282
1848.0,6282
1849.0,7450
1850.0,10529
1851.0,8851
1852.0,11187
1853.0,10351
1854.0,9998
1855.0,9998
1855.0,9281
1856.0,6009
1858.0,2238
1859.0,13699
1860.0,2
1860.0,2
1861.0,5192
1861.0,5192
1862.0,2784
1863.0,2321
1864.0,6282
1865.0,8308
1866.0,8305
1868.0,9938
1869.0,11660
1870.0,11184
1870.0,11184
1871.0,12771
1873.0,4144
1874.0,4144
1874.0,114
1875.0,8750
1876.0,9764
1878.0,9853
1879.0,7905
1880.0,10608
1881.0,9730
1882.0,9001
1883.0,10223
1884.0,9093
1885.0,8132
1886.0,1181
1888.0,1
1888.0,1
1889.0,2051
1890.0,7333
1891.0,7042
1892.0,5095
1893.0,9596
1894.0,2940
1895.0,2940
1895.0,6620
1897.0,8218
1898.0,7892
1899.0,5019
1901.0,1793
1902.0,1793
1902.0,113
1903.0,113
1903.0,6847
1904.0,5576
1905.0,3802
1906.0,2812
1908.0,6306
1909.0,10758
1910.0,11191
1910.0,11191
1911.0,13481
1912.0,12351
